city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
BRISBANE,2005_B/Hong Kong/330/2001-like,2005,B/Vic,B/Hong Kong/330/2001-like,Y,14,29,15.53951592,0.082386364,0,0,N,0.131818182,2,0.314513274,51.11186916,B,N,N,N,14,N,14,N,14,N
BRISBANE,2005_B/Malaysia/2506/2004-like,2005,B/Vic,B/Malaysia/2506/2004-like,Y,17,27,14.46782516,0.076704545,1,1,N,0.122727273,5,1.876595866,51.11186916,B,N,N,N,17,N,17,N,17,N
BRISBANE,2005_B/Florida/4/2006-like,2005,B/Yam,B/Florida/4/2006-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2005_B/Wisconsin/1/2010-like,2005,B/Yam,B/Wisconsin/1/2010-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2006_A/Wisconsin/67/2005-like,2006,H3,A/Wisconsin/67/2005-like,Y,12,274,143.5859275,0.771830986,0,0,Y,1,0,0,51.11186916,A,Y,Y,N,12,Y,12,Y,12,Y
BRISBANE,2006_B/Malaysia/2506/2004-like,2006,B/Vic,B/Malaysia/2506/2004-like,Y,14,81,42.44693478,0.228169014,0,0,N,0.295620438,2,0.071769115,51.11186916,B,N,N,N,14,N,14,N,14,N
BRISBANE,2006_A/California/7/2004-like,2006,H3,A/California/7/2004-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2006_B/Shanghai/361/2002-like,2006,B/Yam,B/Shanghai/361/2002-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2006_A/Solomon Islands/3/2006-like,2006,H1sea,A/Solomon Islands/3/2006-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2007_A/Solomon Islands/3/2006-like,2007,H1sea,A/Solomon Islands/3/2006-like,Y,12,153,78.10477986,0.482649842,1,0,Y,1,0,0,51.11186916,A,Y,Y,N,14,N,14,N,12,Y
