"city","strain_year","year","subtype","reference_strain","epi_alarm","start","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size"
"BRISBANE","2011_A/Perth/16/2009-like",2011,"H3","A/Perth/16/2009-like","N",13,NA,NA,NA,0,0,"N",NA,2,NA,49.7304672938985
"BRISBANE","2011_B/Florida/4/2006-like",2011,"B/Yam","B/Florida/4/2006-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2012_A/Victoria/361/2011-like",2012,"H3","A/Victoria/361/2011-like","Y",11,151,68.7609772801892,0.699074074074074,1,1,"Y",1,0,0,49.7304672938985
"BRISBANE","2012_B/Brisbane/60/2008-like",2012,"B/Vic","B/Brisbane/60/2008-like","Y",18,65,29.5990961802139,0.300925925925926,0,0,"N",0.43046357615894,7,2.43311608726519,49.7304672938985
"BRISBANE","2012_A/Perth/16/2009-like",2012,"H3","A/Perth/16/2009-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2012_A/California/7/2009-like",2012,"H1pdm09","A/California/7/2009-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2012_B/Wisconsin/1/2010-like",2012,"B/Yam","B/Wisconsin/1/2010-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2013_B/Massachusetts/2/2012-like",2013,"B/Yam","B/Massachusetts/2/2012-like","Y",14,111,49.5297131426424,0.513888888888889,1,1,"Y",1,0,0,49.7304672938985
"BRISBANE","2013_A/California/7/2009-like",2013,"H1pdm09","A/California/7/2009-like","Y",14,105,46.8524313511483,0.486111111111111,0,0,"N",0.945945945945946,0,0,49.7304672938985
"BRISBANE","2013_B/Brisbane/60/2008-like",2013,"B/Vic","B/Brisbane/60/2008-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2013_A/Victoria/361/2011-like",2013,"H3","A/Victoria/361/2011-like","N",15,NA,NA,NA,0,0,"N",NA,1,NA,49.7304672938985
"BRISBANE","2014_A/Victoria/361/2011-like",2014,"H3","A/Victoria/361/2011-like","Y",13,62,27.1751160092553,1,0,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2014_A/California/7/2009-like",2014,"H1pdm09","A/California/7/2009-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2014_B/Brisbane/60/2008-like",2014,"B/Vic","B/Brisbane/60/2008-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2014_B/Massachusetts/2/2012-like",2014,"B/Yam","B/Massachusetts/2/2012-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2014_B/Phuket/3073/2013-like",2014,"B/Yam","B/Phuket/3073/2013-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2014_A/Switzerland/9715293/2013-like",2014,"H3","A/Switzerland/9715293/2013-like","N",24,NA,NA,NA,0,1,"N",NA,11,NA,49.7304672938985
